TheoPathType,CoinSet,startPosition,1,2,3,4,5,6
PureUnweightedDijkstra,D,pos1,LV_1,NV_1,HV_1,LV_2,HV_2,NV_2
PureUnweightedDijkstra,D,pos2,HV_1,NV_1,LV_2,LV_1,NV_2,HV_2
PureUnweightedDijkstra,D,pos3,HV_1,NV_2,LV_2,NV_1,LV_1,HV_2
PureUnweightedDijkstra,D,pos4,NV_2,LV_2,HV_1,NV_1,HV_2,LV_1
PureUnweightedDijkstra,D,pos5,NV_2,HV_2,LV_2,NV_1,HV_1,LV_1
PureUnweightedDijkstra,D,pos6,HV_2,LV_2,NV_2,LV_1,NV_1,HV_1
PureUnweightedDijkstra,D,pos7,HV_2,LV_1,NV_1,LV_2,NV_2,HV_1
PureUnweightedDijkstra,D,pos8,LV_1,NV_1,HV_2,LV_2,HV_1,NV_2
