Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
13:53:00:373,127.3784,0,Event,,,,0,0,none,,,,,,,,,,,,,,Started Experiment
13:53:00:374,127.3784,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:4 absolute and delta(local position)
13:53:00:374,127.3784,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: -6.623271 y: -1.439298 z: 6.467428 deltax:3 deltay:0 deltaz:-0.5
13:53:00:375,127.3784,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint1:  x: -9.998614 y: -1.439298 z: 3.327833 deltax:-0.5 deltay:0 deltaz:2.5
13:53:00:375,127.3784,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint2:  x: -5.057148 y: -1.439298 z: 0.7545249 deltax:-2.5 deltay:0 deltaz:-2.7
13:53:00:375,127.3784,0,Event,,,,0,0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.
13:53:00:405,127.7118,0,RTdata,0.372 -0.329 -0.874,42.895 100.615 9.717,0.904 -0.409 -0.128,1,1,nothing,-3.507 1.111 -8.278,-0.053 -0.681 -0.731,-0.025 -0.409 -0.912,-3.522 0.896 -8.736,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
13:53:00:426,127.7436,0,RTdata,0.371 -0.328 -0.874,42.791 100.448 9.632,0.898 -0.424 -0.117,1,1,nothing,-3.506 1.112 -8.277,-0.051 -0.679 -0.732,-0.015 -0.424 -0.906,-3.516 0.876 -8.764,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,126.910 147.750,229.164 134.708,NaN,
13:53:00:460,127.7771,0,RTdata,0.371 -0.327 -0.873,42.743 100.222 9.471,0.898 -0.425 -0.117,1,1,nothing,-3.506 1.112 -8.277,-0.048 -0.679 -0.733,-0.015 -0.425 -0.905,-3.516 0.880 -8.754,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,126.987 147.991,227.876 134.664,NaN,
13:53:00:493,127.8106,0,RTdata,0.371 -0.327 -0.872,42.755 99.985 9.321,0.896 -0.428 -0.121,1,1,nothing,-3.505 1.112 -8.277,-0.045 -0.679 -0.733,-0.019 -0.428 -0.904,-3.517 0.885 -8.741,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,127.211 148.354,226.250 133.224,NaN,
13:53:00:528,127.8443,0,RTdata,0.371 -0.327 -0.872,42.844 99.775 9.230,0.894 -0.432 -0.119,1,1,nothing,-3.504 1.112 -8.276,-0.042 -0.680 -0.732,-0.018 -0.432 -0.902,-3.516 0.870 -8.769,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,127.098 149.016,226.816 133.274,NaN,
13:53:00:560,127.8775,0,RTdata,0.371 -0.328 -0.871,42.971 99.569 9.143,0.895 -0.430 -0.117,1,1,nothing,-3.503 1.111 -8.276,-0.040 -0.682 -0.731,-0.015 -0.430 -0.903,-3.513 0.889 -8.732,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,126.282 149.476,226.982 133.557,NaN,
13:53:00:594,127.911,0,RTdata,0.371 -0.329 -0.870,43.160 99.307 9.030,0.895 -0.429 -0.122,1,1,nothing,-3.503 1.111 -8.276,-0.036 -0.684 -0.729,-0.020 -0.429 -0.903,-3.515 0.897 -8.713,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,125.676 150.469,226.704 132.591,NaN,
13:53:00:627,127.9445,0,RTdata,0.371 -0.330 -0.869,43.440 98.928 8.832,0.896 -0.427 -0.120,1,1,nothing,-3.502 1.109 -8.276,-0.031 -0.688 -0.725,-0.018 -0.427 -0.904,-3.515 0.896 -8.709,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,124.928 151.786,227.598 133.581,NaN,
13:53:00:659,127.9774,0,RTdata,0.371 -0.331 -0.868,43.774 98.324 8.498,0.880 -0.474 -0.042,1,1,nothing,-3.500 1.108 -8.276,-0.023 -0.692 -0.722,0.057 -0.474 -0.879,-3.445 0.579 -9.257,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,7.469,200.712,137.196 151.073,225.153 151.634,161.537,
13:53:00:694,128.011,0,RTdata,0.371 -0.333 -0.866,44.146 97.383 7.963,0.879 -0.476 -0.037,0,0,nothing,-3.499 1.107 -8.276,-0.011 -0.696 -0.717,0.062 -0.476 -0.877,-3.445 0.579 -9.257,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,154.285 142.927,223.029 163.887,NaN,
13:53:00:727,128.0443,0,RTdata,0.371 -0.334 -0.864,44.471 96.224 7.289,0.879 -0.476 -0.037,0,0,nothing,-3.497 1.105 -8.276,0.003 -0.701 -0.714,0.062 -0.476 -0.877,-3.445 0.579 -9.257,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,153.957 141.623,219.461 164.098,NaN,
13:53:00:760,128.0778,0,RTdata,0.371 -0.335 -0.862,44.696 95.120 6.696,0.879 -0.476 -0.037,0,0,nothing,-3.495 1.104 -8.276,0.017 -0.703 -0.711,0.062 -0.476 -0.877,-3.445 0.579 -9.257,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,154.914 141.716,216.140 158.303,NaN,
