Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
12:14:41:825,152.578,0,RTdata,0.002 -0.029 -0.080,349.624 355.261 0.169,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:853,152.6044,0,RTdata,0.002 -0.029 -0.080,349.616 355.263 0.167,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:873,152.6257,0,RTdata,0.003 -0.029 -0.080,349.622 355.260 0.169,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:894,152.646,0,RTdata,0.003 -0.029 -0.080,349.617 355.261 0.167,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:917,152.6665,0,RTdata,0.003 -0.029 -0.080,349.617 355.261 0.169,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:954,152.7046,0,RTdata,0.003 -0.029 -0.080,349.619 355.259 0.169,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:975,152.7271,0,RTdata,0.003 -0.029 -0.080,349.618 355.260 0.170,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:996,152.749,0,RTdata,0.003 -0.029 -0.080,349.622 355.260 0.168,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:036,152.7872,0,RTdata,0.003 -0.029 -0.080,349.624 355.264 0.173,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:058,152.8089,0,RTdata,0.003 -0.029 -0.080,349.629 355.267 0.172,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:079,152.8306,0,RTdata,0.003 -0.029 -0.080,349.621 355.267 0.171,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:103,152.8531,0,RTdata,0.003 -0.029 -0.080,349.628 355.266 0.173,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:42:137,152.8876,0,RTdata,0.003 -0.029 -0.080,349.618 355.266 0.175,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
