Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:04:56:061,62.24256,1,RTdata,3.401 -0.085 -3.632,7.937 341.458 1.032,-0.253 -0.047 0.966,0,0,OtherParticipant,1.925 1.497 -4.821,-0.937 -0.138 -0.320,-0.965 -0.047 -0.258,0.517 1.424 -5.200,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,0.000 0.000,0.000 0.000,NaN,
15:04:56:095,62.27625,1,RTdata,3.401 -0.085 -3.632,7.879 341.410 1.048,-0.253 -0.047 0.966,0,0,OtherParticipant,1.925 1.497 -4.821,-0.937 -0.137 -0.320,-0.965 -0.047 -0.258,0.517 1.424 -5.200,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,193.817 174.604,227.714 178.428,NaN,
15:04:56:128,62.30969,1,RTdata,3.401 -0.085 -3.633,7.814 341.332 1.057,-0.253 -0.047 0.966,0,0,OtherParticipant,1.926 1.497 -4.821,-0.937 -0.136 -0.322,-0.965 -0.047 -0.258,0.517 1.424 -5.200,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,160.964 173.079,249.301 167.958,NaN,
15:04:56:161,62.34286,1,RTdata,3.402 -0.085 -3.633,7.773 341.236 1.051,-0.253 -0.047 0.966,0,0,OtherParticipant,1.926 1.497 -4.821,-0.937 -0.135 -0.323,-0.965 -0.047 -0.258,0.517 1.424 -5.200,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,164.708 173.754,247.526 166.813,NaN,
15:04:56:195,62.37634,1,RTdata,3.402 -0.085 -3.633,7.780 341.147 1.045,-0.253 -0.047 0.966,0,0,OtherParticipant,1.926 1.497 -4.821,-0.936 -0.135 -0.325,-0.965 -0.047 -0.258,0.517 1.424 -5.200,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,165.710 173.044,247.131 166.120,NaN,
15:04:56:228,62.40982,1,RTdata,3.402 -0.085 -3.633,7.787 341.070 1.047,-0.276 -0.032 0.961,1,0,OtherParticipant,1.926 1.497 -4.821,-0.936 -0.135 -0.326,-0.959 -0.032 -0.280,0.606 1.450 -5.206,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,165.689 173.154,246.505 165.613,NaN,
15:04:56:262,62.4432,1,RTdata,3.402 -0.085 -3.633,7.790 340.998 1.060,-0.280 -0.032 0.959,1,1,specialCoin(Clone),1.926 1.497 -4.821,-0.935 -0.136 -0.327,-0.958 -0.032 -0.285,0.385 1.442 -5.278,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,165.772 173.302,245.872 164.753,NaN,
15:04:56:295,62.47639,1,RTdata,3.402 -0.085 -3.633,7.807 340.907 1.064,-0.275 -0.037 0.961,1,1,OtherParticipant,1.926 1.497 -4.820,-0.935 -0.136 -0.329,-0.959 -0.037 -0.280,0.757 1.448 -5.161,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.536 172.802,245.486 164.029,NaN,
15:04:56:328,62.50971,1,RTdata,3.402 -0.085 -3.633,7.834 340.798 1.050,-0.275 -0.037 0.961,1,1,OtherParticipant,1.926 1.497 -4.820,-0.934 -0.136 -0.330,-0.959 -0.037 -0.280,0.679 1.445 -5.183,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.104 172.898,245.565 164.389,NaN,
15:04:56:362,62.54327,1,RTdata,3.402 -0.085 -3.634,7.862 340.689 1.027,-0.277 -0.036 0.960,1,1,specialCoin(Clone),1.926 1.497 -4.820,-0.933 -0.137 -0.332,-0.959 -0.036 -0.282,0.841 1.453 -5.138,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.180 173.513,245.471 164.202,NaN,
15:04:56:395,62.57665,1,RTdata,3.403 -0.085 -3.634,7.876 340.600 1.019,-0.278 -0.035 0.960,1,1,specialCoin(Clone),1.927 1.497 -4.820,-0.933 -0.137 -0.334,-0.959 -0.035 -0.283,0.631 1.445 -5.201,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,166.353 173.557,245.293 163.780,NaN,
