Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:00:02:716,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,Started Experiment
15:00:02:717,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:1 absolute and delta(local position)
15:00:02:717,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: 7.717157 y: -1.582241 z: -4.728475 deltax:3 deltay:0 deltaz:-0.5
15:00:02:718,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint1:  x: 10.73438 y: -1.582241 z: -1.24331 deltax:-0.5 deltay:0 deltaz:2.5
15:00:02:719,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint2:  x: 5.544304 y: -1.582241 z: 0.7823063 deltax:-2.5 deltay:0 deltaz:-2.7
15:00:02:719,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.
15:00:02:720,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:1 absolute and delta(local position)
15:00:02:720,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: 10.73438 y: -1.582241 z: -1.24331 deltax:-0.5 deltay:0 deltaz:2.5
15:00:02:721,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint1:  x: 5.544304 y: -1.582241 z: 0.7823063 deltax:-2.5 deltay:0 deltaz:-2.7
15:00:02:721,598.3596,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint2:  x: 7.717157 y: -1.582241 z: -4.728475 deltax:3 deltay:0 deltaz:-0.5
15:00:02:739,598.6929,0,RTdata,3.594 -0.095 1.257,4.934 176.197 358.472,0.188 0.033 -0.982,1,1,fakeWallEast,-2.966 1.487 -4.653,0.994 -0.086 0.071,0.981 0.033 0.192,-1.821 1.516 -4.427,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
15:00:02:830,598.7927,0,RTdata,3.595 -0.094 1.260,4.285 176.363 358.490,0.184 0.035 -0.982,1,1,fakeWallEast,-2.968 1.488 -4.652,0.995 -0.075 0.068,0.981 0.035 0.189,-1.766 1.522 -4.418,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,171.627 149.912,261.477 188.337,NaN,
15:00:02:913,598.8757,0,RTdata,3.595 -0.094 1.261,3.993 176.696 358.526,0.029 -0.054 -0.998,1,1,fakeWallEast,-2.969 1.488 -4.652,0.996 -0.070 0.062,0.998 -0.054 0.034,-0.424 1.343 -4.557,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.236,202.273,177.757 172.961,238.042 172.336,7.067,
