TheoPathType,CoinSet,startPosition,1,2,3,4,5,6
PureUnweightedDijkstra,B,pos1,LV_1,HV_1,NV_1,NV_2,LV_2,HV_2
PureUnweightedDijkstra,B,pos2,HV_1,LV_1,LV_2,NV_2,NV_1,HV_2
PureUnweightedDijkstra,B,pos3,LV_2,HV_1,NV_2,LV_1,HV_2,NV_1
PureUnweightedDijkstra,B,pos4,LV_2,NV_2,HV_2,HV_1,LV_1,NV_1
PureUnweightedDijkstra,B,pos5,HV_2,NV_2,LV_2,NV_1,HV_1,LV_1
PureUnweightedDijkstra,B,pos6,HV_2,NV_2,NV_1,LV_2,LV_1,HV_1
PureUnweightedDijkstra,B,pos7,NV_1,HV_2,NV_2,LV_1,HV_1,LV_2
PureUnweightedDijkstra,B,pos8,NV_1,LV_1,NV_2,HV_1,HV_2,LV_2
