TheoPathType,CoinSet,startPosition,1,2,3,4,5,6
PureWeightedDijkstra,B,pos1,HV_1,HV_2,LV_1,LV_2,NV_1,NV_2
PureWeightedDijkstra,B,pos2,HV_1,HV_2,LV_1,LV_2,NV_2,NV_1
PureWeightedDijkstra,B,pos3,HV_1,HV_2,LV_2,LV_1,NV_2,NV_1
PureWeightedDijkstra,B,pos4,HV_2,HV_1,LV_2,LV_1,NV_2,NV_1
PureWeightedDijkstra,B,pos5,HV_2,HV_1,LV_2,LV_1,NV_2,NV_1
PureWeightedDijkstra,B,pos6,HV_2,HV_1,LV_2,LV_1,NV_2,NV_1
PureWeightedDijkstra,B,pos7,HV_2,HV_1,LV_1,NV_1,LV_2,NV_2
PureWeightedDijkstra,B,pos8,HV_1,HV_2,LV_1,NV_1,LV_2,NV_2
