Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,Message
14:11:07:915,2276.934,12,RTdata,-4.866 -0.043 -3.658,5.318 294.580 3.459,-0.844 -0.267 0.464,1.0,1.0,fakeGround,0.831 1.401 -3.479,0.975 -0.093 -0.201,0.927 -0.267 -0.264,1.108 1.323 -3.557,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:07:949,2276.968,12,RTdata,-4.873 -0.042 -3.657,5.325 294.985 3.505,-0.848 -0.264 0.460,1.0,1.0,fakeGround,0.838 1.402 -3.479,0.974 -0.093 -0.208,0.929 -0.264 -0.259,1.116 1.325 -3.555,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:07:983,2277.001,12,RTdata,-4.880 -0.041 -3.656,5.232 295.214 3.598,-0.849 -0.266 0.457,1.0,1.0,fakeGround,0.844 1.403 -3.478,0.973 -0.091 -0.212,0.929 -0.266 -0.256,1.123 1.325 -3.555,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:017,2277.035,12,RTdata,-4.886 -0.039 -3.656,4.998 295.034 3.793,-0.857 -0.262 0.444,1.0,1.0,fakeGround,0.850 1.405 -3.477,0.974 -0.087 -0.209,0.934 -0.262 -0.241,1.130 1.327 -3.552,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:050,2277.068,12,RTdata,-4.892 -0.038 -3.657,4.717 293.913 4.017,-0.855 -0.270 0.443,1.0,1.0,MController,0.856 1.406 -3.475,0.978 -0.082 -0.190,0.932 -0.270 -0.240,1.135 1.325 -3.555,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:083,2277.102,12,RTdata,-4.899 -0.037 -3.659,4.382 291.119 4.263,-0.865 -0.265 0.426,0.0,0.0,MController,0.862 1.407 -3.471,0.987 -0.076 -0.142,0.938 -0.265 -0.222,1.139 1.327 -3.550,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:116,2277.135,12,RTdata,-4.906 -0.036 -3.665,4.088 286.513 4.507,-0.865 -0.265 0.426,0.0,0.0,MController,0.868 1.408 -3.464,0.995 -0.071 -0.062,0.938 -0.265 -0.222,1.139 1.327 -3.550,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:150,2277.169,12,RTdata,-4.913 -0.036 -3.672,3.877 280.780 4.718,-0.865 -0.265 0.426,0.0,0.0,MController,0.873 1.408 -3.456,0.997 -0.068 0.037,0.938 -0.265 -0.222,1.139 1.327 -3.550,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:182,2277.201,12,RTdata,-4.919 -0.036 -3.680,3.705 274.619 4.915,-0.865 -0.265 0.426,0.0,0.0,MController,0.877 1.408 -3.446,0.987 -0.065 0.144,0.938 -0.265 -0.222,1.139 1.327 -3.550,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:217,2277.236,12,RTdata,-4.923 -0.036 -3.689,3.451 268.024 4.846,-0.865 -0.265 0.426,0.0,0.0,MController,0.879 1.408 -3.436,0.965 -0.060 0.257,0.938 -0.265 -0.222,1.139 1.327 -3.550,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:250,2277.269,12,RTdata,-4.926 -0.035 -3.698,3.146 262.093 4.610,-0.865 -0.265 0.426,0.0,0.0,MController,0.880 1.409 -3.428,0.933 -0.055 0.355,0.938 -0.265 -0.222,1.139 1.327 -3.550,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:283,2277.302,12,RTdata,-4.927 -0.035 -3.705,2.875 256.978 4.289,-0.865 -0.265 0.426,0.0,0.0,MController,0.880 1.409 -3.420,0.898 -0.050 0.437,0.938 -0.265 -0.222,1.139 1.327 -3.550,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:11:08:318,2277.337,12,RTdata,-4.928 -0.035 -3.711,2.558 252.673 3.873,-0.865 -0.265 0.426,0.0,0.0,MController,0.879 1.409 -3.414,0.863 -0.045 0.503,0.938 -0.265 -0.222,1.139 1.327 -3.550,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
