TheoPathType,CoinSet,startPosition,1,2,3,4,5,6
PureWeightedDijkstra,C,pos1,HV_2,HV_1,LV_1,NV_1,LV_2,NV_2
PureWeightedDijkstra,C,pos2,HV_2,HV_1,LV_1,NV_1,LV_2,NV_2
PureWeightedDijkstra,C,pos3,HV_2,HV_1,LV_2,LV_1,NV_1,NV_2
PureWeightedDijkstra,C,pos4,HV_2,HV_1,LV_2,LV_1,NV_2,NV_1
PureWeightedDijkstra,C,pos5,HV_1,HV_2,LV_2,LV_1,NV_2,NV_1
PureWeightedDijkstra,C,pos6,HV_1,HV_2,LV_2,LV_1,NV_2,NV_1
PureWeightedDijkstra,C,pos7,HV_1,HV_2,LV_1,LV_2,NV_2,NV_1
PureWeightedDijkstra,C,pos8,HV_1,HV_2,LV_1,LV_2,NV_1,NV_2
