Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message,BlockNum,RoundNum,BlockType,CoinSetID
15:07:40:636,28.85609,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,Started Experiment,,,,
15:07:40:637,28.85609,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,coinsetID:4 absolute and delta(local position),,,,4.0
15:07:40:638,28.85609,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,coinpoint0:  x: -6.379694 y: -1.408006 z: -6.819519 deltax:3 deltay:0 deltaz:-0.5,,,,4.0
15:07:40:638,28.85609,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,coinpoint1:  x: -3.344357 y: -1.408006 z: -10.28892 deltax:-0.5 deltay:0 deltaz:2.5,,,,4.0
15:07:40:638,28.85609,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,coinpoint2:  x: -0.6217418 y: -1.408006 z: -5.428119 deltax:-2.5 deltay:0 deltaz:-2.7,,,,4.0
15:07:40:638,28.85609,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.,,,,4.0
15:07:40:668,28.99034,0,RTdata,-5.646 0.341 -6.610,3.589 2.675 357.180,0.444 -0.076 0.893,1.0,1.0,fakeWallSouth,2.304 1.749 -0.812,0.096 -0.063 -0.993,-0.312 -0.076 -0.947,1.526 1.562 -3.137,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,,,,4.0
15:07:40:692,29.0231,0,RTdata,-5.668 0.337 -6.593,3.584 3.214 357.725,0.451 -0.077 0.889,1.0,1.0,fakeWallSouth,2.328 1.745 -0.826,0.087 -0.063 -0.994,-0.319 -0.077 -0.945,1.675 1.591 -2.730,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,103.951 169.409,246.619 95.637,,,,,,4.0
15:07:40:725,29.05608,0,RTdata,-5.690 0.333 -6.577,3.468 3.908 358.158,0.452 -0.076 0.889,1.0,1.0,fakeWallSouth,2.352 1.741 -0.839,0.075 -0.060 -0.995,-0.320 -0.076 -0.944,1.630 1.569 -2.967,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,104.150 168.493,246.599 95.919,,,,,,4.0
15:07:40:759,29.08967,0,RTdata,-5.713 0.329 -6.562,3.072 4.799 358.346,0.464 -0.080 0.882,1.0,1.0,fakeWallSouth,2.376 1.737 -0.850,0.060 -0.054 -0.997,-0.333 -0.080 -0.939,1.632 1.550 -2.967,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,104.302 167.268,247.800 95.825,,,,,,4.0
