Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message,BlockNum,RoundNum,BlockType,CoinSetID
13:56:35:475,108.8792,0,RTdata,-2.856 0.415 -1.994,27.332 289.880 0.409,-0.899 -0.268 0.346,1.0,1.0,fakeGround,0.129 1.841 -4.945,0.884 -0.459 -0.086,0.957 -0.268 -0.113,1.085 1.575 -5.065,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,108.732 136.830,266.384 131.557,,,1.0,1.0,collecting,4.0
13:56:35:509,108.9121,0,RTdata,-2.855 0.415 -1.994,27.091 289.990 0.426,-0.891 -0.283 0.356,1.0,1.0,fakeGround,0.129 1.842 -4.945,0.886 -0.455 -0.088,0.951 -0.283 -0.125,1.067 1.550 -5.090,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,109.126 136.666,265.904 131.549,,,1.0,1.0,collecting,4.0
13:56:35:543,108.9457,0,RTdata,-2.855 0.415 -1.994,27.140 290.122 0.364,-0.885 -0.295 0.360,1.0,1.0,fakeGround,0.129 1.841 -4.945,0.885 -0.456 -0.090,0.947 -0.295 -0.130,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,111.299 141.716,263.311 134.136,,,1.0,1.0,collecting,4.0
13:56:35:576,108.9793,0,RTdata,-2.855 0.414 -1.994,27.672 290.281 0.260,-0.889 -0.288 0.355,0.0,1.0,fakeGround,0.129 1.840 -4.945,0.881 -0.464 -0.092,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,108.220 145.410,265.889 137.311,,,1.0,1.0,collecting,4.0
13:56:35:609,109.0123,0,RTdata,-2.854 0.412 -1.994,28.735 290.463 0.211,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.128 1.838 -4.945,0.872 -0.481 -0.094,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,245.789 132.318,,,1.0,1.0,collecting,4.0
13:56:35:643,109.0463,0,RTdata,-2.854 0.410 -1.994,30.235 290.691 0.233,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.128 1.836 -4.945,0.859 -0.504 -0.096,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,0.000 0.000,,,1.0,1.0,collecting,4.0
13:56:35:676,109.079,0,RTdata,-2.854 0.407 -1.995,31.621 290.921 0.243,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.127 1.834 -4.945,0.846 -0.524 -0.098,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,0.000 0.000,,,1.0,1.0,collecting,4.0
13:56:35:710,109.1131,0,RTdata,-2.854 0.406 -1.995,32.354 291.092 0.249,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.127 1.833 -4.944,0.839 -0.535 -0.100,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,0.000 0.000,,,1.0,1.0,collecting,4.0
13:56:35:743,109.146,0,RTdata,-2.853 0.407 -1.996,32.280 291.180 0.258,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.127 1.833 -4.944,0.839 -0.534 -0.101,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,0.000 0.000,,,1.0,1.0,collecting,4.0
13:56:35:777,109.1801,0,RTdata,-2.853 0.408 -1.996,31.712 291.197 0.246,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.127 1.834 -4.943,0.845 -0.526 -0.102,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,0.000 0.000,,,1.0,1.0,collecting,4.0
13:56:35:810,109.2133,0,RTdata,-2.853 0.410 -1.997,30.900 291.201 0.206,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.126 1.836 -4.943,0.852 -0.514 -0.103,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,0.000 0.000,0.000 0.000,,,1.0,1.0,collecting,4.0
13:56:35:843,109.2466,0,RTdata,-2.853 0.412 -1.998,29.998 291.204 0.177,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.126 1.839 -4.942,0.860 -0.500 -0.104,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,132.656 137.731,250.384 141.807,,,1.0,1.0,collecting,4.0
13:56:35:876,109.2798,0,RTdata,-2.853 0.415 -1.998,29.160 291.214 0.142,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.126 1.841 -4.941,0.867 -0.487 -0.105,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,128.376 134.883,252.134 143.502,,,1.0,1.0,collecting,4.0
13:56:35:910,109.3129,0,RTdata,-2.853 0.416 -1.999,28.523 291.239 0.104,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.125 1.843 -4.941,0.872 -0.478 -0.106,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,130.734 133.704,249.765 142.238,,,1.0,1.0,collecting,4.0
13:56:35:943,109.3464,0,RTdata,-2.853 0.418 -1.999,28.109 291.296 0.048,-0.889 -0.288 0.355,0.0,0.0,fakeGround,0.125 1.844 -4.940,0.876 -0.471 -0.107,0.949 -0.288 -0.124,1.080 1.572 -5.069,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,131.764 133.249,248.977 141.827,,,1.0,1.0,collecting,4.0
13:56:35:976,109.3796,0,RTdata,-2.853 0.419 -1.999,27.935 291.388 359.961,-0.853 -0.433 0.290,0.0,0.0,fakeGround,0.126 1.845 -4.940,0.877 -0.468 -0.109,0.899 -0.433 -0.070,1.008 1.419 -5.009,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,133.217 132.138,247.806 141.116,,,1.0,1.0,collecting,4.0
13:56:36:010,109.4133,0,RTdata,-2.854 0.419 -1.999,28.014 291.524 359.869,-0.852 -0.436 0.288,1.0,1.0,fakeGround,0.126 1.845 -4.940,0.876 -0.470 -0.111,0.897 -0.436 -0.068,1.399 1.229 -5.034,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,134.138 131.418,247.042 140.380,,,1.0,1.0,collecting,4.0
13:56:36:044,109.4468,0,RTdata,-2.854 0.419 -1.999,28.310 291.681 359.796,-0.850 -0.440 0.290,1.0,1.0,fakeGround,0.127 1.845 -4.940,0.873 -0.474 -0.113,0.895 -0.440 -0.071,1.411 1.221 -5.041,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,134.389 130.610,247.099 140.145,,,1.0,1.0,collecting,4.0
13:56:36:077,109.4801,0,RTdata,-2.855 0.418 -1.999,28.740 291.826 359.727,-0.850 -0.439 0.291,1.0,1.0,fakeGround,0.128 1.844 -4.941,0.869 -0.481 -0.115,0.895 -0.439 -0.072,1.507 1.178 -5.050,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,134.111 130.337,247.433 140.286,,,1.0,1.0,collecting,4.0
13:56:36:110,109.5132,0,RTdata,-2.856 0.417 -1.998,29.255 291.922 359.648,-0.841 -0.479 0.252,1.0,1.0,fakeGround,0.129 1.844 -4.941,0.865 -0.489 -0.116,0.877 -0.479 -0.036,1.483 1.116 -4.996,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,133.181 129.554,248.935 140.349,,,1.0,1.0,collecting,4.0
13:56:36:143,109.5466,0,RTdata,-2.857 0.416 -1.998,29.816 291.953 359.531,-0.842 -0.475 0.257,1.0,1.0,fakeGround,0.130 1.843 -4.940,0.860 -0.497 -0.115,0.879 -0.475 -0.041,1.487 1.122 -5.004,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,132.470 129.447,249.586 140.366,,,1.0,1.0,collecting,4.0
13:56:36:177,109.5804,0,RTdata,-2.859 0.415 -1.998,30.404 291.938 359.373,-0.840 -0.477 0.258,1.0,1.0,fakeGround,0.131 1.841 -4.940,0.855 -0.506 -0.114,0.878 -0.477 -0.043,1.253 1.242 -4.996,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,132.393 129.343,250.072 140.334,,,1.0,1.0,collecting,4.0
13:56:36:211,109.6137,0,RTdata,-2.860 0.414 -1.998,31.013 291.886 359.209,-0.837 -0.483 0.258,1.0,1.0,fakeGround,0.133 1.840 -4.940,0.850 -0.515 -0.113,0.874 -0.483 -0.043,1.252 1.240 -4.997,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,131.658 129.048,251.052 140.293,,,1.0,1.0,collecting,4.0
13:56:36:244,109.6471,0,RTdata,-2.861 0.412 -1.998,31.580 291.834 359.053,-0.834 -0.492 0.249,1.0,1.0,fakeGround,0.134 1.839 -4.939,0.845 -0.524 -0.112,0.870 -0.492 -0.035,1.246 1.221 -4.985,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,130.492 128.953,252.108 140.346,,,1.0,1.0,collecting,4.0
13:56:36:277,109.6804,0,RTdata,-2.862 0.411 -1.999,32.024 291.775 358.936,-0.834 -0.495 0.244,1.0,1.0,fakeGround,0.135 1.838 -4.939,0.841 -0.530 -0.110,0.868 -0.495 -0.030,3.489 -0.053 -5.059,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,130.456 129.132,252.444 140.752,,,1.0,1.0,collecting,4.0
13:56:36:311,109.7139,0,RTdata,-2.863 0.410 -1.999,32.355 291.681 358.850,-0.821 -0.534 0.203,1.0,1.0,fakeGround,0.135 1.837 -4.938,0.838 -0.535 -0.108,0.846 -0.534 0.006,2.642 0.278 -4.926,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.729,236.96,136.989 127.862,249.299 145.257,81.866,,1.0,1.0,collecting,4.0
13:56:36:344,109.7471,0,RTdata,-2.864 0.410 -2.000,32.532 291.559 358.784,-0.808 -0.557 0.190,1.0,1.0,fakeGround,0.136 1.836 -4.937,0.836 -0.538 -0.106,0.830 -0.557 0.016,1.492 0.931 -4.915,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.1,196.299,145.571 126.658,243.859 152.774,3.014,,1.0,1.0,collecting,4.0
