Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message,BlockNum,RoundNum,BlockType,CoinSetID
12:17:30:814,53.72144,0,Event,,,,0,0,none,,,,,,,,,,,,,,Started Experiment,,,,
12:17:30:815,53.72144,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:0 absolute and delta(local position),,,,0.0
12:17:30:815,53.72144,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: -0.3669181 y: -1.459162 z: -0.1087982 deltax:0 deltay:0 deltaz:0,,,,0.0
12:17:30:815,53.72144,0,Event,,,,0,0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.,,,,0.0
12:17:30:855,53.85539,0,RTdata,0.045 -0.505 0.009,5.965 18.759 1.463,0.000 0.000 0.000,0,0,none,-0.413 0.954 0.113,-0.762 -0.104 -0.639,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,,,,0.0
12:17:30:856,53.85539,0,Event,,,,0,0,none,,,,,,,,,,,,,,Repositioned and ready to start block or round,1.0,1.0,collecting,0.0
12:17:30:895,53.90562,0,RTdata,0.045 -0.505 0.009,6.032 18.754 1.494,0.000 0.000 0.000,0,0,none,-0.413 0.954 0.113,-0.762 -0.105 -0.639,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:30:916,53.92839,0,RTdata,0.045 -0.506 0.009,6.064 18.691 1.511,0.000 0.000 0.000,0,0,none,-0.413 0.953 0.113,-0.762 -0.106 -0.639,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:30:943,53.95427,0,RTdata,0.045 -0.506 0.010,6.078 18.576 1.523,0.000 0.000 0.000,0,0,none,-0.413 0.953 0.112,-0.760 -0.106 -0.641,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:30:966,53.97549,0,RTdata,0.044 -0.506 0.010,6.038 18.432 1.543,0.000 0.000 0.000,0,0,none,-0.413 0.953 0.112,-0.759 -0.105 -0.643,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:30:986,53.99862,0,RTdata,0.044 -0.507 0.011,5.915 18.225 1.567,0.000 0.000 0.000,0,0,none,-0.413 0.952 0.111,-0.757 -0.103 -0.646,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:008,54.02,0,RTdata,0.043 -0.507 0.012,5.657 17.974 1.518,0.000 0.000 0.000,0,0,none,-0.413 0.952 0.110,-0.754 -0.099 -0.649,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:045,54.05526,0,RTdata,0.041 -0.508 0.014,5.040 17.255 1.482,0.000 0.000 0.000,0,0,none,-0.412 0.951 0.107,-0.747 -0.088 -0.659,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:065,54.07702,0,RTdata,0.039 -0.508 0.016,4.674 16.676 1.582,0.000 0.000 0.000,0,0,none,-0.411 0.951 0.104,-0.740 -0.081 -0.667,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:087,54.09722,0,RTdata,0.037 -0.509 0.018,4.375 16.110 1.670,0.000 0.000 0.000,0,0,none,-0.411 0.951 0.102,-0.734 -0.076 -0.675,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:110,54.12152,0,RTdata,0.034 -0.509 0.020,4.104 15.323 1.769,0.000 0.000 0.000,0,0,none,-0.410 0.951 0.098,-0.725 -0.072 -0.685,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:148,54.1556,0,RTdata,0.030 -0.508 0.024,3.860 13.634 1.823,0.000 0.000 0.000,0,0,none,-0.408 0.952 0.093,-0.705 -0.067 -0.706,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:169,54.18037,0,RTdata,0.026 -0.506 0.027,3.732 11.978 1.775,0.000 0.000 0.000,0,0,none,-0.406 0.953 0.088,-0.684 -0.065 -0.727,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:190,54.20139,0,RTdata,0.023 -0.503 0.029,3.753 10.328 1.773,0.000 0.000 0.000,0,0,none,-0.405 0.956 0.085,-0.663 -0.065 -0.746,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:228,54.23927,0,RTdata,0.017 -0.497 0.032,4.213 6.957 2.014,0.000 0.000 0.000,0,0,none,-0.402 0.963 0.079,-0.617 -0.073 -0.783,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:248,54.26043,0,RTdata,0.015 -0.492 0.034,4.608 5.046 2.190,0.000 0.000 0.000,0,0,none,-0.400 0.967 0.077,-0.591 -0.080 -0.803,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:268,54.28068,0,RTdata,0.012 -0.487 0.034,4.997 3.263 2.246,0.000 0.000 0.000,0,0,none,-0.399 0.972 0.075,-0.565 -0.087 -0.820,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:294,54.30598,0,RTdata,0.010 -0.481 0.035,5.499 1.081 2.122,0.000 0.000 0.000,0,0,none,-0.396 0.979 0.073,-0.533 -0.096 -0.841,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:316,54.32667,0,RTdata,0.008 -0.475 0.034,5.894 359.355 1.855,0.000 0.000 0.000,0,0,none,-0.395 0.984 0.073,-0.507 -0.103 -0.856,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:337,54.34885,0,RTdata,0.006 -0.470 0.033,6.304 357.475 1.566,0.000 0.000 0.000,0,0,none,-0.392 0.989 0.073,-0.478 -0.110 -0.871,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:360,54.37024,0,RTdata,0.004 -0.466 0.031,6.664 355.480 1.455,0.000 0.000 0.000,0,0,none,-0.389 0.994 0.073,-0.447 -0.116 -0.887,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:396,54.40564,0,RTdata,0.000 -0.459 0.025,7.079 351.791 1.307,0.000 0.000 0.000,0,0,none,-0.383 1.000 0.076,-0.389 -0.123 -0.913,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:416,54.42879,0,RTdata,-0.003 -0.456 0.021,7.329 349.187 1.056,0.000 0.000 0.000,0,0,none,-0.378 1.003 0.078,-0.347 -0.128 -0.929,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
12:17:31:443,54.45537,0,RTdata,-0.006 -0.454 0.015,7.780 345.901 0.760,0.000 0.000 0.000,0,0,none,-0.372 1.005 0.082,-0.293 -0.135 -0.947,0.000 0.000 0.000,-0.370 1.459 0.098,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,1.0,1.0,collecting,0.0
