Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:04:18:930,300.51,1,RTdata,-0.090 0.334 -5.478,10.525 256.257 357.780,-0.974 -0.219 -0.059,0,0,fakeGround,-3.032 1.744 -2.728,0.912 -0.183 0.368,0.955 -0.219 0.198,-2.133 1.549 -2.451,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,123.343 144.291,257.720 101.306,NaN,
15:04:18:964,300.5435,1,RTdata,-0.090 0.334 -5.477,10.567 256.417 357.759,-0.976 -0.215 0.018,1,1,fakeGround,-3.032 1.743 -2.729,0.913 -0.183 0.365,0.969 -0.215 0.122,-1.833 1.483 -2.575,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,123.912 143.129,258.770 101.350,NaN,
15:04:18:997,300.5767,1,RTdata,-0.090 0.334 -5.476,10.598 256.625 357.693,-0.975 -0.189 -0.119,1,1,fakeGround,-3.031 1.743 -2.730,0.914 -0.184 0.362,0.948 -0.189 0.257,-1.815 1.506 -2.395,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,128.525 129.998,268.067 110.900,NaN,
15:04:19:031,300.6104,1,RTdata,-0.091 0.334 -5.474,10.624 256.873 357.608,-0.974 -0.192 -0.120,1,1,fakeGround,-3.031 1.743 -2.732,0.915 -0.184 0.358,0.947 -0.192 0.258,-2.020 1.543 -2.451,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.448,191.183,128.973 129.001,268.578 111.345,1.911,
15:04:19:065,300.6439,1,RTdata,-0.091 0.334 -5.473,10.684 257.111 357.532,-0.974 -0.192 -0.123,1,1,fakeGround,-3.030 1.743 -2.733,0.917 -0.185 0.354,0.946 -0.192 0.261,-2.170 1.575 -2.490,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,129.257 128.240,268.838 111.309,NaN,
15:04:19:097,300.6773,1,RTdata,-0.091 0.333 -5.472,10.744 257.378 357.474,-0.974 -0.198 -0.111,1,1,fakeGround,-3.030 1.743 -2.734,0.918 -0.186 0.350,0.948 -0.198 0.249,-1.729 1.477 -2.385,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,129.130 127.582,268.948 111.112,NaN,
15:04:19:131,300.7104,1,RTdata,-0.091 0.333 -5.471,10.771 257.676 357.425,-0.976 -0.195 -0.100,1,1,fakeGround,-3.029 1.742 -2.735,0.920 -0.187 0.345,0.951 -0.195 0.238,-1.919 1.515 -2.432,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,127.088 131.306,267.838 110.448,NaN,
15:04:19:164,300.7438,1,RTdata,-0.091 0.333 -5.470,10.789 258.010 357.407,-0.976 -0.195 -0.100,0,0,fakeGround,-3.029 1.742 -2.736,0.922 -0.187 0.339,0.951 -0.195 0.238,-1.919 1.515 -2.432,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,115.328 149.985,256.966 105.697,NaN,
15:04:19:197,300.7774,1,RTdata,-0.092 0.333 -5.469,10.837 258.369 357.413,-0.976 -0.195 -0.100,0,0,fakeGround,-3.029 1.742 -2.737,0.924 -0.188 0.334,0.951 -0.195 0.238,-1.919 1.515 -2.432,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,101.575 156.172,251.442 99.425,NaN,
15:04:19:231,300.811,1,RTdata,-0.092 0.333 -5.468,10.909 258.772 357.441,-0.976 -0.195 -0.100,0,0,fakeGround,-3.029 1.742 -2.738,0.926 -0.189 0.327,0.951 -0.195 0.238,-1.919 1.515 -2.432,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,110.463 153.844,265.526 98.821,NaN,
